a1,a2,a3,a4,a5,a6
-1,-10,-2,-3,-3,-3
-1,-7,-2,-3,-2,-32
-1,-5,-2,-4,-2,-17
-1,-5,-2,-4,-3,-9
-1,-5,-2,-4,-5,-5
-1,-5,-3,-3,-2,-4
-1,-4,-2,-5,-2,-36
-1,-4,-2,-5,-3,-13
-1,-4,-3,-3,-2,-12
-1,-3,-2,-7,-6,-60
-1,-3,-2,-11,-2,-48
-1,-3,-3,-4,-2,-40
-1,-3,-2,-8,-4,-27
-1,-3,-2,-12,-2,-25
-1,-3,-2,-7,-10,-16
-1,-3,-2,-8,-5,-15
-1,-3,-2,-8,-6,-11
-1,-3,-2,-8,-7,-9
-1,-3,-2,-11,-4,-6
-1,-3,-2,-12,-4,-5
-1,-3,-2,-33,-2,-4
-1,-3,-3,-7,-2,-4
-1,-3,-2,-24,-3,-3
-1,-3,-2,-56,-2,-3
-2,-2,-2,-3,-3,-3
-1,-2,-3,-7,-12,-162
-1,-2,-3,-8,-7,-121
-1,-2,-3,-16,-3,-117
-1,-2,-3,-11,-4,-106
-1,-2,-4,-13,-2,-100
-1,-2,-4,-5,-6,-96
-1,-2,-5,-8,-2,-84
-1,-2,-4,-7,-3,-81
-1,-2,-4,-14,-2,-53
-1,-2,-4,-6,-4,-43
-1,-2,-3,-18,-3,-43
-1,-2,-3,-9,-6,-40
-1,-2,-3,-12,-4,-38
-1,-2,-5,-10,-2,-20
-1,-2,-5,-5,-4,-18
-1,-2,-3,-12,-5,-15
-1,-2,-4,-7,-4,-14
-1,-2,-3,-9,-10,-12
-1,-2,-6,-9,-2,-12
-1,-2,-3,-19,-4,-10
-1,-2,-3,-52,-3,-9
-1,-2,-4,-11,-3,-9
-1,-2,-5,-5,-6,-8
-1,-2,-4,-59,-2,-8
-1,-2,-3,-126,-3,-7
-1,-2,-4,-106,-2,-7
-1,-2,-3,-36,-4,-6
-1,-2,-3,-30,-5,-5
-1,-2,-6,-45,-2,-4
-1,-2,-7,-25,-2,-4
-1,-2,-9,-15,-2,-4
-1,-2,-10,-13,-2,-4
-1,-2,-5,-30,-3,-3
-1,-2,-6,-17,-3,-3
-1,-2,-8,-86,-2,-3
