a1,a2,a3,a4,a5,a6
-1,-9,-2,-3,-2,-20
-1,-7,-2,-3,-2,-100
-1,-7,-2,-3,-4,-34
-1,-7,-2,-3,-10,-12
-1,-6,-2,-4,-2,-17
-1,-6,-2,-5,-2,-8
-1,-6,-2,-4,-5,-6
-1,-6,-2,-7,-2,-4
-1,-5,-2,-4,-2,-51
-1,-5,-2,-4,-3,-26
-1,-5,-2,-4,-6,-11
-1,-5,-2,-8,-2,-5
-1,-4,-2,-5,-2,-104
-1,-4,-2,-5,-4,-22
-1,-4,-2,-8,-2,-11
-1,-4,-2,-15,-2,-4
-1,-3,-2,-7,-6,-128
-1,-3,-2,-11,-2,-116
-1,-3,-3,-4,-2,-108
-1,-3,-2,-8,-4,-61
-1,-3,-2,-12,-2,-59
-1,-3,-2,-7,-8,-46
-1,-3,-2,-13,-2,-40
-1,-3,-2,-8,-5,-32
-1,-3,-2,-16,-2,-21
-1,-3,-2,-12,-3,-16
-1,-3,-2,-29,-2,-8
-1,-3,-4,-5,-2,-8
-1,-3,-2,-48,-2,-5
-1,-3,-2,-67,-2,-4
-1,-3,-2,-124,-2,-3
-1,-3,-4,-10,-2,-3
-2,-2,-2,-3,-3,-7
-1,-2,-3,-7,-12,-230
-1,-2,-3,-8,-7,-189
-1,-2,-3,-16,-3,-185
-1,-2,-3,-11,-4,-174
-1,-2,-4,-13,-2,-168
-1,-2,-4,-5,-6,-164
-1,-2,-5,-8,-2,-152
-1,-2,-4,-7,-3,-149
-1,-2,-4,-14,-2,-87
-1,-2,-3,-7,-14,-84
-1,-2,-4,-6,-4,-77
-1,-2,-3,-10,-5,-61
-1,-2,-4,-15,-2,-60
-1,-2,-6,-7,-2,-52
-1,-2,-3,-8,-9,-43
-1,-2,-3,-13,-4,-38
-1,-2,-4,-18,-2,-33
-1,-2,-5,-6,-3,-31
-1,-2,-4,-6,-5,-28
-1,-2,-4,-21,-2,-24
-1,-2,-7,-7,-2,-24
-1,-2,-4,-30,-2,-15
-1,-2,-4,-6,-7,-14
-1,-2,-3,-19,-4,-14
-1,-2,-4,-39,-2,-12
-1,-2,-4,-66,-2,-9
-1,-2,-4,-93,-2,-8
-1,-2,-5,-26,-2,-8
-1,-2,-3,-194,-3,-7
-1,-2,-4,-174,-2,-7
-1,-2,-3,-53,-4,-6
-1,-2,-5,-9,-4,-6
-1,-2,-4,-31,-3,-5
-1,-2,-5,-16,-3,-5
-1,-2,-6,-79,-2,-4
-1,-2,-7,-42,-2,-4
-1,-2,-8,-154,-2,-3
-1,-2,-10,-56,-2,-3
-1,-2,-14,-28,-2,-3
