a1,a2,a3,a4,a5,a6
-1,-8,-2,-3,-2,-23
-1,-8,-2,-3,-3,-14
-1,-8,-2,-3,-5,-8
-1,-7,-2,-3,-2,-69
-1,-7,-2,-3,-3,-35
-1,-7,-2,-3,-5,-18
-1,-5,-2,-9,-2,-3
-1,-4,-2,-5,-2,-73
-1,-4,-2,-7,-2,-11
-1,-4,-2,-5,-7,-8
-1,-4,-3,-4,-2,-7
-1,-4,-2,-15,-2,-3
-1,-3,-2,-7,-6,-97
-1,-3,-2,-11,-2,-85
-1,-3,-3,-4,-2,-77
-1,-3,-2,-7,-7,-51
-1,-3,-2,-9,-3,-44
-1,-3,-2,-7,-9,-28
-1,-3,-2,-9,-4,-19
-1,-3,-2,-13,-3,-10
-1,-3,-3,-5,-3,-8
-1,-3,-2,-11,-5,-7
-1,-3,-2,-25,-3,-4
-1,-3,-3,-7,-3,-4
-1,-3,-2,-93,-2,-3
-1,-3,-5,-6,-2,-3
-1,-2,-3,-7,-12,-199
-1,-2,-3,-8,-7,-158
-1,-2,-3,-16,-3,-154
-1,-2,-3,-11,-4,-143
-1,-2,-4,-13,-2,-137
-1,-2,-4,-5,-6,-133
-1,-2,-5,-8,-2,-121
-1,-2,-4,-7,-3,-118
-1,-2,-3,-7,-13,-105
-1,-2,-3,-17,-3,-80
-1,-2,-3,-7,-15,-58
-1,-2,-3,-8,-8,-57
-1,-2,-4,-5,-7,-48
-1,-2,-3,-19,-3,-43
-1,-2,-5,-9,-2,-43
-1,-2,-4,-5,-8,-31
-1,-2,-3,-11,-5,-27
-1,-2,-5,-12,-2,-17
-1,-2,-4,-5,-13,-14
-1,-2,-5,-14,-2,-13
-1,-2,-5,-6,-4,-11
-1,-2,-6,-11,-2,-11
-1,-2,-3,-52,-3,-10
-1,-2,-3,-89,-3,-8
-1,-2,-5,-9,-3,-8
-1,-2,-3,-163,-3,-7
-1,-2,-4,-143,-2,-7
-1,-2,-5,-27,-2,-7
-1,-2,-3,-80,-4,-5
-1,-2,-5,-66,-2,-5
-1,-2,-6,-29,-2,-5
-1,-2,-4,-45,-3,-4
-1,-2,-5,-19,-3,-4
-1,-2,-6,-13,-3,-4
-1,-2,-8,-123,-2,-3
-1,-2,-9,-65,-2,-3
-1,-2,-11,-36,-2,-3
