a1,a2,a3,a4,a5,a6
-1,-7,-2,-3,-2,-13
-1,-7,-2,-3,-3,-7
-1,-7,-2,-3,-4,-5
-1,-4,-2,-5,-2,-17
-1,-4,-2,-7,-2,-3
-1,-3,-2,-7,-6,-41
-1,-3,-2,-11,-2,-29
-1,-3,-2,-7,-7,-23
-1,-3,-3,-4,-2,-21
-1,-3,-2,-7,-8,-17
-1,-3,-2,-9,-3,-16
-1,-3,-2,-7,-9,-14
-1,-3,-2,-7,-11,-11
-1,-3,-2,-13,-2,-11
-1,-3,-2,-19,-2,-5
-1,-3,-3,-5,-2,-5
-1,-3,-2,-37,-2,-3
-1,-2,-3,-7,-12,-143
-1,-2,-3,-8,-7,-102
-1,-2,-3,-16,-3,-98
-1,-2,-3,-11,-4,-87
-1,-2,-4,-13,-2,-81
-1,-2,-3,-7,-13,-77
-1,-2,-4,-5,-6,-77
-1,-2,-5,-8,-2,-65
-1,-2,-4,-7,-3,-62
-1,-2,-3,-7,-14,-55
-1,-2,-3,-17,-3,-52
-1,-2,-3,-7,-15,-44
-1,-2,-3,-7,-17,-33
-1,-2,-3,-10,-5,-32
-1,-2,-4,-15,-2,-31
-1,-2,-3,-19,-3,-29
-1,-2,-3,-7,-22,-23
-1,-2,-6,-7,-2,-23
-1,-2,-4,-17,-2,-21
-1,-2,-4,-5,-11,-12
-1,-2,-4,-27,-2,-11
-1,-2,-3,-38,-3,-10
-1,-2,-3,-11,-7,-9
-1,-2,-4,-37,-2,-9
-1,-2,-3,-61,-3,-8
-1,-2,-5,-7,-3,-8
-1,-2,-3,-14,-6,-7
-1,-2,-3,-107,-3,-7
-1,-2,-4,-87,-2,-7
-1,-2,-7,-9,-2,-7
-1,-2,-3,-52,-4,-5
-1,-2,-5,-38,-2,-5
-1,-2,-5,-12,-3,-4
-1,-2,-8,-67,-2,-3
-1,-2,-9,-37,-2,-3
-1,-2,-10,-27,-2,-3
-1,-2,-11,-22,-2,-3
-1,-2,-12,-19,-2,-3
-1,-2,-13,-17,-2,-3
