a1,a2,a3,a4,a5,a6
-1,-8,-2,-3,-3,-4
-1,-7,-2,-3,-2,-19
-1,-7,-2,-3,-3,-10
-1,-7,-2,-3,-4,-7
-1,-4,-2,-5,-2,-23
-1,-3,-2,-7,-6,-47
-1,-3,-2,-11,-2,-35
-1,-3,-3,-4,-2,-27
-1,-3,-2,-7,-7,-26
-1,-3,-2,-7,-8,-19
-1,-3,-2,-9,-3,-19
-1,-3,-2,-13,-2,-13
-1,-3,-2,-7,-11,-12
-1,-3,-2,-9,-4,-9
-1,-3,-3,-4,-3,-8
-1,-3,-2,-13,-3,-5
-1,-3,-2,-21,-2,-5
-1,-3,-2,-15,-3,-4
-1,-3,-2,-43,-2,-3
-1,-3,-3,-7,-2,-3
-1,-2,-3,-7,-12,-149
-1,-2,-3,-8,-7,-108
-1,-2,-3,-16,-3,-104
-1,-2,-3,-11,-4,-93
-1,-2,-4,-13,-2,-87
-1,-2,-4,-5,-6,-83
-1,-2,-3,-7,-13,-80
-1,-2,-5,-8,-2,-71
-1,-2,-4,-7,-3,-68
-1,-2,-3,-7,-14,-57
-1,-2,-3,-17,-3,-55
-1,-2,-3,-7,-17,-34
-1,-2,-3,-10,-5,-34
-1,-2,-4,-15,-2,-33
-1,-2,-6,-7,-2,-25
-1,-2,-3,-8,-10,-21
-1,-2,-4,-5,-8,-21
-1,-2,-3,-22,-3,-20
-1,-2,-3,-10,-6,-17
-1,-2,-4,-21,-2,-15
-1,-2,-3,-29,-3,-13
-1,-2,-3,-13,-5,-11
-1,-2,-4,-39,-2,-9
-1,-2,-7,-8,-2,-9
-1,-2,-3,-64,-3,-8
-1,-2,-4,-11,-3,-8
-1,-2,-3,-113,-3,-7
-1,-2,-4,-93,-2,-7
-1,-2,-3,-55,-4,-5
-1,-2,-5,-41,-2,-5
-1,-2,-6,-19,-2,-5
-1,-2,-8,-11,-2,-5
-1,-2,-8,-73,-2,-3
-1,-2,-9,-40,-2,-3
-1,-2,-10,-29,-2,-3
-1,-2,-13,-18,-2,-3
