a1,a2,a3,a4,a5,a6
-1,-8,-2,-3,-2,-22
-1,-8,-2,-6,-2,-2
-1,-7,-2,-3,-2,-66
-1,-7,-2,-3,-6,-14
-1,-7,-2,-7,-2,-2
-2,-6,-2,-2,-2,-2
-1,-6,-2,-4,-3,-7
-1,-5,-2,-4,-2,-34
-1,-5,-2,-4,-4,-12
-1,-5,-2,-5,-2,-10
-1,-5,-2,-6,-2,-6
-1,-5,-2,-12,-2,-2
-1,-5,-4,-4,-2,-2
-1,-4,-2,-5,-2,-70
-1,-4,-2,-6,-2,-18
-1,-4,-2,-9,-2,-6
-1,-4,-2,-10,-2,-5
-1,-4,-2,-22,-2,-2
-2,-3,-2,-2,-2,-6
-2,-3,-2,-5,-2,-2
-1,-3,-2,-7,-6,-94
-1,-3,-2,-11,-2,-82
-1,-3,-3,-4,-2,-74
-1,-3,-2,-8,-4,-44
-1,-3,-2,-12,-2,-42
-1,-3,-2,-10,-3,-22
-1,-3,-2,-14,-2,-22
-1,-3,-2,-15,-2,-18
-1,-3,-2,-10,-4,-12
-1,-3,-3,-4,-4,-12
-1,-3,-2,-18,-2,-12
-1,-3,-2,-20,-2,-10
-1,-3,-4,-4,-2,-10
-1,-3,-2,-10,-6,-7
-1,-3,-2,-26,-2,-7
-1,-3,-2,-30,-2,-6
-1,-3,-2,-18,-4,-4
-1,-3,-4,-4,-4,-4
-1,-3,-2,-50,-2,-4
-1,-3,-2,-90,-2,-3
-1,-3,-3,-22,-2,-2
-1,-3,-4,-12,-2,-2
-1,-3,-6,-7,-2,-2
-2,-2,-2,-2,-2,-18
-2,-2,-2,-3,-3,-5
-1,-2,-3,-7,-12,-196
-1,-2,-3,-8,-7,-155
-1,-2,-3,-16,-3,-151
-1,-2,-3,-11,-4,-140
-1,-2,-4,-13,-2,-134
-1,-2,-4,-5,-6,-130
-1,-2,-5,-8,-2,-118
-1,-2,-4,-7,-3,-115
-1,-2,-4,-14,-2,-70
-1,-2,-4,-6,-4,-60
-1,-2,-3,-8,-8,-56
-1,-2,-3,-7,-16,-48
-1,-2,-4,-5,-7,-47
-1,-2,-5,-9,-2,-42
-1,-2,-4,-16,-2,-38
-1,-2,-3,-20,-3,-35
-1,-2,-4,-8,-3,-31
-1,-2,-3,-8,-11,-23
-1,-2,-4,-20,-2,-22
-1,-2,-6,-8,-2,-22
-1,-2,-3,-8,-12,-20
-1,-2,-4,-9,-3,-19
-1,-2,-4,-28,-2,-14
-1,-2,-3,-19,-4,-12
-1,-2,-4,-8,-4,-12
-1,-2,-3,-44,-3,-11
-1,-2,-4,-12,-3,-10
-1,-2,-4,-44,-2,-10
-1,-2,-5,-17,-2,-10
-1,-2,-8,-8,-2,-10
-1,-2,-4,-76,-2,-8
-1,-2,-6,-14,-2,-8
-1,-2,-3,-160,-3,-7
-1,-2,-4,-16,-3,-7
-1,-2,-4,-140,-2,-7
-1,-2,-4,-12,-4,-6
-1,-2,-5,-36,-2,-6
-1,-2,-6,-20,-2,-6
-1,-2,-8,-12,-2,-6
-1,-2,-4,-20,-4,-4
-1,-2,-4,-44,-3,-4
-1,-2,-6,-62,-2,-4
-1,-2,-8,-24,-2,-4
-1,-2,-8,-120,-2,-3
