a1,a2,a3,a4,a5,a6
-1,-9,-2,-3,-2,-17
-1,-7,-2,-3,-2,-85
-1,-7,-2,-3,-3,-43
-1,-7,-2,-3,-4,-29
-1,-7,-2,-3,-5,-22
-1,-7,-2,-3,-7,-15
-1,-7,-2,-3,-8,-13
-1,-6,-3,-4,-2,-3
-1,-4,-2,-5,-2,-89
-1,-4,-2,-5,-4,-19
-1,-4,-2,-5,-5,-14
-1,-4,-3,-7,-2,-3
-1,-3,-2,-7,-6,-113
-1,-3,-2,-11,-2,-101
-1,-3,-3,-4,-2,-93
-1,-3,-2,-7,-7,-59
-1,-3,-2,-9,-3,-52
-1,-3,-2,-7,-8,-41
-1,-3,-2,-13,-2,-35
-1,-3,-2,-7,-9,-32
-1,-3,-2,-7,-11,-23
-1,-3,-2,-7,-14,-17
-1,-3,-2,-19,-2,-13
-1,-3,-2,-21,-2,-11
-1,-3,-2,-11,-5,-8
-1,-3,-4,-5,-2,-7
-1,-3,-2,-43,-2,-5
-1,-3,-2,-109,-2,-3
-1,-3,-4,-9,-2,-3
-1,-2,-3,-7,-12,-215
-1,-2,-3,-8,-7,-174
-1,-2,-3,-16,-3,-170
-1,-2,-3,-11,-4,-159
-1,-2,-4,-13,-2,-153
-1,-2,-4,-5,-6,-149
-1,-2,-5,-8,-2,-137
-1,-2,-4,-7,-3,-134
-1,-2,-3,-7,-13,-113
-1,-2,-3,-17,-3,-88
-1,-2,-3,-7,-14,-79
-1,-2,-3,-7,-15,-62
-1,-2,-3,-10,-5,-56
-1,-2,-4,-15,-2,-55
-1,-2,-3,-19,-3,-47
-1,-2,-6,-7,-2,-47
-1,-2,-3,-7,-17,-45
-1,-2,-3,-8,-9,-40
-1,-2,-3,-13,-4,-35
-1,-2,-3,-7,-23,-28
-1,-2,-5,-6,-3,-28
-1,-2,-4,-19,-2,-27
-1,-2,-4,-5,-9,-26
-1,-2,-5,-11,-2,-23
-1,-2,-7,-8,-2,-15
-1,-2,-4,-33,-2,-13
-1,-2,-3,-10,-10,-11
-1,-2,-5,-17,-2,-11
-1,-2,-3,-56,-3,-10
-1,-2,-3,-26,-4,-9
-1,-2,-4,-61,-2,-9
-1,-2,-3,-97,-3,-8
-1,-2,-3,-179,-3,-7
-1,-2,-4,-159,-2,-7
-1,-2,-3,-88,-4,-5
-1,-2,-5,-74,-2,-5
-1,-2,-8,-17,-2,-5
-1,-2,-5,-21,-3,-4
-1,-2,-8,-139,-2,-3
-1,-2,-9,-73,-2,-3
-1,-2,-10,-51,-2,-3
-1,-2,-11,-40,-2,-3
-1,-2,-13,-29,-2,-3
-1,-2,-18,-19,-2,-3
