a1,a2,a3,a4,a5,a6
-1,-7,-2,-3,-2,-8
-1,-5,-2,-4,-2,-5
-1,-5,-2,-4,-3,-3
-1,-4,-2,-5,-2,-12
-1,-4,-2,-5,-3,-5
-1,-4,-3,-3,-2,-4
-1,-3,-2,-7,-6,-36
-1,-3,-2,-11,-2,-24
-1,-3,-3,-4,-2,-16
-1,-3,-2,-8,-4,-15
-1,-3,-2,-12,-2,-13
-1,-3,-2,-8,-5,-9
-1,-3,-2,-8,-6,-7
-1,-3,-2,-21,-2,-4
-1,-3,-3,-5,-2,-4
-1,-3,-2,-16,-3,-3
-1,-3,-2,-32,-2,-3
-1,-2,-3,-7,-12,-138
-1,-2,-3,-8,-7,-97
-1,-2,-3,-16,-3,-93
-1,-2,-3,-11,-4,-82
-1,-2,-4,-13,-2,-76
-1,-2,-4,-5,-6,-72
-1,-2,-5,-8,-2,-60
-1,-2,-4,-7,-3,-57
-1,-2,-4,-14,-2,-41
-1,-2,-3,-18,-3,-35
-1,-2,-3,-9,-6,-32
-1,-2,-4,-6,-4,-31
-1,-2,-3,-12,-4,-30
-1,-2,-4,-17,-2,-20
-1,-2,-4,-19,-2,-16
-1,-2,-4,-5,-9,-15
-1,-2,-3,-9,-8,-14
-1,-2,-4,-22,-2,-13
-1,-2,-5,-11,-2,-12
-1,-2,-4,-26,-2,-11
-1,-2,-3,-17,-4,-10
-1,-2,-4,-6,-6,-9
-1,-2,-3,-44,-3,-9
-1,-2,-4,-47,-2,-8
-1,-2,-7,-8,-2,-8
-1,-2,-4,-7,-5,-7
-1,-2,-3,-102,-3,-7
-1,-2,-4,-82,-2,-7
-1,-2,-3,-30,-4,-6
-1,-2,-4,-10,-4,-5
-1,-2,-8,-10,-2,-5
-1,-2,-6,-33,-2,-4
-1,-2,-7,-19,-2,-4
-1,-2,-9,-12,-2,-4
-1,-2,-5,-22,-3,-3
-1,-2,-6,-13,-3,-3
-1,-2,-7,-10,-3,-3
-1,-2,-8,-62,-2,-3
-1,-2,-12,-18,-2,-3
