0,734,3146,4023,8951,10043,13527,14762,21482,22932,27488,29081,37593,39401,45029,46980,57284,59450
0,1491,2310,4014,8953,11154,12337,14751,21486,24397,25944,29068,37599,41220,43131,46965,57292,61623
0,1505,2279,3996,8957,11178,12296,14729,21494,24431,25893,29042,37611,41264,43070,46935,57308,61677
0,697,3154,3987,8959,9996,13545,14718,21498,22875,27516,29029,37617,39334,45067,46920,57316,59373
0,735,3102,3978,8961,10054,13473,14707,21502,22953,27424,29016,37623,39432,44955,46905,57324,59491
0,1449,2313,3969,8963,11102,12350,14696,21506,24335,25967,29003,37629,41148,43164,46890,57332,61541
0,1507,2236,3951,8967,11190,12243,14674,21514,24453,25830,28977,37641,41296,42997,46860,57348,61719
0,656,3158,3942,8969,9945,13559,14663,21518,22814,27540,28964,37647,39263,45101,46845,57356,59292
0,736,3058,3933,8971,10065,13419,14652,21522,22974,27360,28951,37653,39463,44881,46830,57364,59532
0,1407,2316,3924,8973,11050,12363,14641,21526,24273,25990,28938,37659,41076,43197,46815,57372,61459
0,1509,2193,3906,8977,11202,12190,14619,21534,24475,25767,28912,37671,41328,42924,46785,57388,61761
0,615,3162,3897,8979,9894,13573,14608,21538,22753,27564,28899,37677,39192,45135,46770,57396,59211
0,737,3014,3888,8981,10076,13365,14597,21542,22995,27296,28886,37683,39494,44807,46755,57404,59573
0,1365,2319,3879,8983,10998,12376,14586,21546,24211,26013,28873,37689,41004,43230,46740,57412,61377
0,1511,2150,3861,8987,11214,12137,14564,21554,24497,25704,28847,37701,41360,42851,46710,57428,61803
0,574,3166,3852,8989,9843,13587,14553,21558,22692,27588,28834,37707,39121,45169,46695,57436,59130
0,738,2970,3843,8991,10087,13311,14542,21562,23016,27232,28821,37713,39525,44733,46680,57444,59614
0,1323,2322,3834,8993,10946,12389,14531,21566,24149,26036,28808,37719,40932,43263,46665,57452,61295
0,1513,2107,3816,8997,11226,12084,14509,21574,24519,25641,28782,37731,41392,42778,46635,57468,61845
0,533,3170,3807,8999,9792,13601,14498,21578,22631,27612,28769,37737,39050,45203,46620,57476,59049
0,739,2926,3798,9001,10098,13257,14487,21582,23037,27168,28756,37743,39556,44659,46605,57484,59655
0,1281,2325,3789,9003,10894,12402,14476,21586,24087,26059,28743,37749,40860,43296,46590,57492,61213
0,1515,2064,3771,9007,11238,12031,14454,21594,24541,25578,28717,37761,41424,42705,46560,57508,61887,63412
0,492,3174,3762,9009,9741,13615,14443,21598,22570,27636,28704,37767,38979,45237,46545,57516,58968
0,740,2882,3753,9011,10109,13203,14432,21602,23058,27104,28691,37773,39587,44585,46530,57524,59696
0,1239,2328,3744,9013,10842,12415,14421,21606,24025,26082,28678,37779,40788,43329,46515,57532,61131
0,1517,2021,3726,9017,11250,11978,14399,21614,24563,25515,28652,37791,41456,42632,46485,57548,61929,63329
0,451,3178,3717,9019,9690,13629,14388,21618,22509,27660,28639,37797,38908,45271,46470,57556,58887
0,741,2838,3708,9021,10120,13149,14377,21622,23079,27040,28626,37803,39618,44511,46455,57564,59737
0,1197,2331,3699,9023,10790,12428,14366,21626,23963,26105,28613,37809,40716,43362,46440,57572,61049
0,1519,1978,3681,9027,11262,11925,14344,21634,24585,25452,28587,37821,41488,42559,46410,57588,61971,63246
0,410,3182,3672,9029,9639,13643,14333,21638,22448,27684,28574,37827,38837,45305,46395,57596,58806
0,742,2794,3663,9031,10131,13095,14322,21642,23100,26976,28561,37833,39649,44437,46380,57604,59778
0,1155,2334,3654,9033,10738,12441,14311,21646,23901,26128,28548,37839,40644,43395,46365,57612,60967
0,1521,1935,3636,9037,11274,11872,14289,21654,24607,25389,28522,37851,41520,42486,46335,57628,62013,63163
0,369,3186,3627,9039,9588,13657,14278,21658,22387,27708,28509,37857,38766,45339,46320,57636,58725
0,743,2750,3618,9041,10142,13041,14267,21662,23121,26912,28496,37863,39680,44363,46305,57644,59819
0,1113,2337,3609,9043,10686,12454,14256,21666,23839,26151,28483,37869,40572,43428,46290,57652,60885
0,1523,1892,3591,9047,11286,11819,14234,21674,24629,25326,28457,37881,41552,42413,46260,57668,62055,63080
0,328,3190,3582,9049,9537,13671,14223,21678,22326,27732,28444,37887,38695,45373,46245,57676,58644
0,744,2706,3573,9051,10153,12987,14212,21682,23142,26848,28431,37893,39711,44289,46230,57684,59860
0,1071,2340,3564,9053,10634,12467,14201,21686,23777,26174,28418,37899,40500,43461,46215,57692,60803
0,1525,1849,3546,9057,11298,11766,14179,21694,24651,25263,28392,37911,41584,42340,46185,57708,62097,62997
0,287,3194,3537,9059,9486,13685,14168,21698,22265,27756,28379,37917,38624,45407,46170,57716,58563
0,745,2662,3528,9061,10164,12933,14157,21702,23163,26784,28366,37923,39742,44215,46155,57724,59901
0,1029,2343,3519,9063,10582,12480,14146,21706,23715,26197,28353,37929,40428,43494,46140,57732,60721
0,1527,1806,3501,9067,11310,11713,14124,21714,24673,25200,28327,37941,41616,42267,46110,57748,62139,62914
0,246,3198,3492,9069,9435,13699,14113,21718,22204,27780,28314,37947,38553,45441,46095,57756,58482
0,746,2618,3483,9071,10175,12879,14102,21722,23184,26720,28301,37953,39773,44141,46080,57764,59942
0,987,2346,3474,9073,10530,12493,14091,21726,23653,26220,28288,37959,40356,43527,46065,57772,60639
0,1529,1763,3456,9077,11322,11660,14069,21734,24695,25137,28262,37971,41648,42194,46035,57788,62181,62831
0,205,3202,3447,9079,9384,13713,14058,21738,22143,27804,28249,37977,38482,45475,46020,57796,58401
