0,53,341,405,911,990,1406,1496,2186,2291,2835,2951,3825,3956,4628,4770,5828,5985,6785,6953,8195,8378,9306,9500,10926,11135,12191,12411,14021,14256,15440,15686,17480,17741,19053,19325,21303,21590,23030,23328,25490,25803,27371,27695,30041,30380,32076,32426,34956,35321,37145,37521,40235,40626,42578,42980,45878,46295,48375,48803,51885,52328,54536,54990
0,165,210,396,913,1156,1221,1485,2190,2511,2596,2938,3831,4230,4335,4755,5836,6313,6438,6936,8205,8760,8905,9481,10938,11571,11736,12390,14035,14746,14931,15663,17496,18285,18490,19300,21321,22188,22413,23301,25510,26455,26700,27666,30063,31086,31351,32395,34980,36081,36366,37488,40261,41440,41745,42945,45906,47163,47488,48766,51915,53250,53595,54951
0,87,285,387,915,1044,1330,1474,2194,2365,2739,2925,3837,4050,4512,4740,5844,6099,6649,6919,8215,8512,9150,9462,10950,11289,12015,12369,14049,14430,15244,15640,17512,17935,18837,19275,21339,21804,22794,23274,25530,26037,27115,27637,30085,30634,31800,32364,35004,35595,36849,37455,40287,40920,42262,42910,45934,46609,48039,48729,51945,52662,54180,54912
0,109,244,369,919,1080,1275,1452,2202,2415,2670,2899,3849,4114,4429,4710,5860,6177,6552,6885,8235,8604,9039,9424,10974,11395,11890,12327,14077,14550,15105,15594,17544,18069,18684,19225,21375,21952,22627,23220,25570,26199,26934,27579,30129,30810,31605,32302,35052,35785,36640,37389,40339,41124,42039,42840,45990,46827,47802,48655,52005,52894,53929,54834
0,118,226,360,921,1095,1251,1441,2206,2436,2640,2886,3855,4141,4393,4695,5868,6210,6510,6868,8245,8643,8991,9405,10986,11440,11836,12306,14091,14601,15045,15571,17560,18126,18618,19200,21393,22015,22555,23193,25590,26268,26856,27550,30151,30885,31521,32271,35076,35866,36550,37356,40365,41211,41943,42805,46018,46920,47700,48618,52035,52993,53821,54795
0,54,279,342,925,1005,1330,1419,2214,2320,2745,2860,3867,3999,4524,4665,5884,6042,6667,6834,8265,8449,9174,9367,11010,11220,12045,12264,14119,14355,15280,15525,17592,17854,18879,19150,21429,21717,22842,23139,25630,25944,27169,27492,30195,30535,31860,32209,35124,35490,36915,37290,40417,40809,42334,42735,46074,46492,48117,48544,52095,52539,54264,54717
0,150,168,333,927,1147,1173,1408,2218,2508,2542,2847,3873,4233,4275,4650,5892,6322,6372,6817,8275,8775,8833,9348,11022,11592,11658,12243,14133,14773,14847,15502,17608,18318,18400,19125,21447,22227,22317,23112,25650,26500,26598,27463,30217,31137,31243,32178,35148,36138,36252,37257,40443,41503,41625,42700,46102,47232,47362,48507,52125,53325,53463,54678
0,29,290,324,929,972,1349,1397,2222,2279,2772,2834,3879,3950,4559,4635,5900,5985,6710,6800,8285,8384,9225,9329,11034,11147,12104,12222,14147,14274,15347,15479,17624,17765,18954,19100,21465,21620,22925,23085,25670,25839,27260,27434,30239,30422,31959,32147,35172,35369,37022,37224,40469,40680,42449,42665,46130,46355,48240,48470,52155,52394,54395,54639
0,111,183,306,933,1096,1200,1375,2230,2445,2581,2808,3891,4158,4326,4605,5916,6235,6435,6766,8305,8676,8908,9291,11058,11481,11745,12180,14175,14650,14946,15433,17656,18183,18511,19050,21501,22080,22440,23031,25710,26341,26733,27376,30283,30966,31390,32085,35220,35955,36411,37158,40521,41308,41796,42595,46186,47025,47545,48396,52215,53106,53658,54561
0,59,230,297,935,1022,1269,1364,2234,2349,2672,2795,3897,4040,4439,4590,5924,6095,6570,6749,8315,8514,9065,9272,11070,11297,11924,12159,14189,14444,15147,15410,17672,17955,18734,19025,21519,21830,22685,23004,25730,26069,27000,27347,30305,30672,31679,32054,35244,35639,36722,37125,40547,40970,42129,42560,46214,46665,47900,48359,52245,52724,54035,54522
