0,779,3362,4293,9551,10710,14441,15752,22922,24461,29340,31031,40113,42032,48059,50130,61124,63423
0,1605,2451,4284,9553,11922,13144,15741,22926,26059,27657,31018,40119,44016,45990,50115,61132
0,1575,2466,4266,9557,11882,13169,15719,22934,26009,27692,30992,40131,43956,46035,50085,61148
0,784,3322,4257,9559,10725,14391,15708,22938,24486,29280,30979,40137,42067,47989,50070,61156,63468
0,738,3366,4248,9561,10659,14455,15697,22942,24400,29364,30966,40143,41961,48093,50055,61164,63342
0,1607,2408,4239,9563,11934,13091,15686,22946,26081,27594,30953,40149,44048,45917,50040,61172
0,1533,2469,4221,9567,11830,13182,15664,22954,25947,27715,30927,40161,43884,46068,50010,61188
0,785,3278,4212,9569,10736,14337,15653,22958,24507,29216,30914,40167,42098,47915,49995,61196,63509
0,697,3370,4203,9571,10608,14469,15642,22962,24339,29388,30901,40173,41890,48127,49980,61204,63261
0,1609,2365,4194,9573,11946,13038,15631,22966,26103,27531,30888,40179,44080,45844,49965,61212
0,1491,2472,4176,9577,11778,13195,15609,22974,25885,27738,30862,40191,43812,46101,49935,61228
0,786,3234,4167,9579,10747,14283,15598,22978,24528,29152,30849,40197,42129,47841,49920,61236,63550
0,656,3374,4158,9581,10557,14483,15587,22982,24278,29412,30836,40203,41819,48161,49905,61244,63180
0,1611,2322,4149,9583,11958,12985,15576,22986,26125,27468,30823,40209,44112,45771,49890,61252
0,1449,2475,4131,9587,11726,13208,15554,22994,25823,27761,30797,40221,43740,46134,49860,61268
0,787,3190,4122,9589,10758,14229,15543,22998,24549,29088,30784,40227,42160,47767,49845,61276,63591
0,615,3378,4113,9591,10506,14497,15532,23002,24217,29436,30771,40233,41748,48195,49830,61284,63099
0,1613,2279,4104,9593,11970,12932,15521,23006,26147,27405,30758,40239,44144,45698,49815,61292
0,1407,2478,4086,9597,11674,13221,15499,23014,25761,27784,30732,40251,43668,46167,49785,61308
0,788,3146,4077,9599,10769,14175,15488,23018,24570,29024,30719,40257,42191,47693,49770,61316,63632
0,574,3382,4068,9601,10455,14511,15477,23022,24156,29460,30706,40263,41677,48229,49755,61324,63018
0,1615,2236,4059,9603,11982,12879,15466,23026,26169,27342,30693,40269,44176,45625,49740,61332
0,1365,2481,4041,9607,11622,13234,15444,23034,25699,27807,30667,40281,43596,46200,49710,61348
0,789,3102,4032,9609,10780,14121,15433,23038,24591,28960,30654,40287,42222,47619,49695,61356,63673
0,533,3386,4023,9611,10404,14525,15422,23042,24095,29484,30641,40293,41606,48263,49680,61364,62937
0,1617,2193,4014,9613,11994,12826,15411,23046,26191,27279,30628,40299,44208,45552,49665,61372
0,1323,2484,3996,9617,11570,13247,15389,23054,25637,27830,30602,40311,43524,46233,49635,61388
0,790,3058,3987,9619,10791,14067,15378,23058,24612,28896,30589,40317,42253,47545,49620,61396
0,492,3390,3978,9621,10353,14539,15367,23062,24034,29508,30576,40323,41535,48297,49605,61404,62856
0,1619,2150,3969,9623,12006,12773,15356,23066,26213,27216,30563,40329,44240,45479,49590,61412
0,1281,2487,3951,9627,11518,13260,15334,23074,25575,27853,30537,40341,43452,46266,49560,61428
0,791,3014,3942,9629,10802,14013,15323,23078,24633,28832,30524,40347,42284,47471,49545,61436
0,451,3394,3933,9631,10302,14553,15312,23082,23973,29532,30511,40353,41464,48331,49530,61444,62775
0,1621,2107,3924,9633,12018,12720,15301,23086,26235,27153,30498,40359,44272,45406,49515,61452
0,1239,2490,3906,9637,11466,13273,15279,23094,25513,27876,30472,40371,43380,46299,49485,61468
0,792,2970,3897,9639,10813,13959,15268,23098,24654,28768,30459,40377,42315,47397,49470,61476
0,410,3398,3888,9641,10251,14567,15257,23102,23912,29556,30446,40383,41393,48365,49455,61484,62694
0,1623,2064,3879,9643,12030,12667,15246,23106,26257,27090,30433,40389,44304,45333,49440,61492
0,1197,2493,3861,9647,11414,13286,15224,23114,25451,27899,30407,40401,43308,46332,49410,61508
0,793,2926,3852,9649,10824,13905,15213,23118,24675,28704,30394,40407,42346,47323,49395,61516
0,369,3402,3843,9651,10200,14581,15202,23122,23851,29580,30381,40413,41322,48399,49380,61524,62613
0,1625,2021,3834,9653,12042,12614,15191,23126,26279,27027,30368,40419,44336,45260,49365,61532
0,1155,2496,3816,9657,11362,13299,15169,23134,25389,27922,30342,40431,43236,46365,49335,61548
0,794,2882,3807,9659,10835,13851,15158,23138,24696,28640,30329,40437,42377,47249,49320,61556
0,328,3406,3798,9661,10149,14595,15147,23142,23790,29604,30316,40443,41251,48433,49305,61564,62532
0,1627,1978,3789,9663,12054,12561,15136,23146,26301,26964,30303,40449,44368,45187,49290,61572
0,1113,2499,3771,9667,11310,13312,15114,23154,25327,27945,30277,40461,43164,46398,49260,61588
0,795,2838,3762,9669,10846,13797,15103,23158,24717,28576,30264,40467,42408,47175,49245,61596
0,287,3410,3753,9671,10098,14609,15092,23162,23729,29628,30251,40473,41180,48467,49230,61604,62451
0,1629,1935,3744,9673,12066,12508,15081,23166,26323,26901,30238,40479,44400,45114,49215,61612
0,1071,2502,3726,9677,11258,13325,15059,23174,25265,27968,30212,40491,43092,46431,49185,61628
0,796,2794,3717,9679,10857,13743,15048,23178,24738,28512,30199,40497,42439,47101,49170,61636
0,246,3414,3708,9681,10047,14623,15037,23182,23668,29652,30186,40503,41109,48501,49155,61644,62370
0,1631,1892,3699,9683,12078,12455,15026,23186,26345,26838,30173,40509,44432,45041,49140,61652
0,1029,2505,3681,9687,11206,13338,15004,23194,25203,27991,30147,40521,43020,46464,49110,61668
