0,1449,2232,3888,8651,10790,11921,14267,20762,23591,25070,28106,36333,39852,41679,45405,55364,59573,61748
0,697,3046,3879,8653,9690,13083,14256,20766,22143,26580,28093,36339,38056,43537,45390,55372,57429
0,710,3014,3861,8657,9713,13041,14234,20774,22176,26528,28067,36351,38099,43475,45360,55388,57482
0,1455,2193,3852,8659,10806,11872,14223,20778,23617,25011,28054,36357,39888,41610,45345,55396,59619,61669
0,1407,2235,3843,8661,10738,11934,14212,20782,23529,25093,28041,36363,39780,41712,45330,55404,59491,61791
0,656,3050,3834,8663,9639,13097,14201,20786,22082,26604,28028,36369,37985,43571,45315,55412,57348
0,711,2970,3816,8667,9724,12987,14179,20794,22197,26464,28002,36381,38130,43401,45285,55428,57523
0,1457,2150,3807,8669,10818,11819,14168,20798,23639,24948,27989,36387,39920,41537,45270,55436,59661,61586
0,1365,2238,3798,8671,10686,11947,14157,20802,23467,25116,27976,36393,39708,41745,45255,55444,59409,61834
0,615,3054,3789,8673,9588,13111,14146,20806,22021,26628,27963,36399,37914,43605,45240,55452,57267
0,712,2926,3771,8677,9735,12933,14124,20814,22218,26400,27937,36411,38161,43327,45210,55468,57564
0,1459,2107,3762,8679,10830,11766,14113,20818,23661,24885,27924,36417,39952,41464,45195,55476,59703,61503
0,1323,2241,3753,8681,10634,11960,14102,20822,23405,25139,27911,36423,39636,41778,45180,55484,59327,61877
0,574,3058,3744,8683,9537,13125,14091,20826,21960,26652,27898,36429,37843,43639,45165,55492,57186
0,713,2882,3726,8687,9746,12879,14069,20834,22239,26336,27872,36441,38192,43253,45135,55508,57605
0,1461,2064,3717,8689,10842,11713,14058,20838,23683,24822,27859,36447,39984,41391,45120,55516,59745,61420
0,1281,2244,3708,8691,10582,11973,14047,20842,23343,25162,27846,36453,39564,41811,45105,55524,59245,61920
0,533,3062,3699,8693,9486,13139,14036,20846,21899,26676,27833,36459,37772,43673,45090,55532,57105
0,714,2838,3681,8697,9757,12825,14014,20854,22260,26272,27807,36471,38223,43179,45060,55548,57646
0,1463,2021,3672,8699,10854,11660,14003,20858,23705,24759,27794,36477,40016,41318,45045,55556,59787,61337
0,1239,2247,3663,8701,10530,11986,13992,20862,23281,25185,27781,36483,39492,41844,45030,55564,59163,61963
0,492,3066,3654,8703,9435,13153,13981,20866,21838,26700,27768,36489,37701,43707,45015,55572,57024
0,715,2794,3636,8707,9768,12771,13959,20874,22281,26208,27742,36501,38254,43105,44985,55588,57687
0,1465,1978,3627,8709,10866,11607,13948,20878,23727,24696,27729,36507,40048,41245,44970,55596,59829,61254
0,1197,2250,3618,8711,10478,11999,13937,20882,23219,25208,27716,36513,39420,41877,44955,55604,59081,62006
0,451,3070,3609,8713,9384,13167,13926,20886,21777,26724,27703,36519,37630,43741,44940,55612,56943
0,716,2750,3591,8717,9779,12717,13904,20894,22302,26144,27677,36531,38285,43031,44910,55628,57728
0,1467,1935,3582,8719,10878,11554,13893,20898,23749,24633,27664,36537,40080,41172,44895,55636,59871,61171
0,1155,2253,3573,8721,10426,12012,13882,20902,23157,25231,27651,36543,39348,41910,44880,55644,58999,62049
0,410,3074,3564,8723,9333,13181,13871,20906,21716,26748,27638,36549,37559,43775,44865,55652,56862
0,717,2706,3546,8727,9790,12663,13849,20914,22323,26080,27612,36561,38316,42957,44835,55668,57769
0,1469,1892,3537,8729,10890,11501,13838,20918,23771,24570,27599,36567,40112,41099,44820,55676,59913,61088
0,1113,2256,3528,8731,10374,12025,13827,20922,23095,25254,27586,36573,39276,41943,44805,55684,58917,62092
0,369,3078,3519,8733,9282,13195,13816,20926,21655,26772,27573,36579,37488,43809,44790,55692,56781
0,718,2662,3501,8737,9801,12609,13794,20934,22344,26016,27547,36591,38347,42883,44760,55708,57810,63210
0,1471,1849,3492,8739,10902,11448,13783,20938,23793,24507,27534,36597,40144,41026,44745,55716,59955,61005
0,1071,2259,3483,8741,10322,12038,13772,20942,23033,25277,27521,36603,39204,41976,44730,55724,58835,62135
0,328,3082,3474,8743,9231,13209,13761,20946,21594,26796,27508,36609,37417,43843,44715,55732,56700
0,719,2618,3456,8747,9812,12555,13739,20954,22365,25952,27482,36621,38378,42809,44685,55748,57851,63126
0,1473,1806,3447,8749,10914,11395,13728,20958,23815,24444,27469,36627,40176,40953,44670,55756,59997,60922
0,1029,2262,3438,8751,10270,12051,13717,20962,22971,25300,27456,36633,39132,42009,44655,55764,58753,62178
0,287,3086,3429,8753,9180,13223,13706,20966,21533,26820,27443,36639,37346,43877,44640,55772,56619
0,720,2574,3411,8757,9823,12501,13684,20974,22386,25888,27417,36651,38409,42735,44610,55788,57892,63042
0,1475,1763,3402,8759,10926,11342,13673,20978,23837,24381,27404,36657,40208,40880,44595,55796,60039,60839
0,987,2265,3393,8761,10218,12064,13662,20982,22909,25323,27391,36663,39060,42042,44580,55804,58671,62221
0,246,3090,3384,8763,9129,13237,13651,20986,21472,26844,27378,36669,37275,43911,44565,55812,56538
0,721,2530,3366,8767,9834,12447,13629,20994,22407,25824,27352,36681,38440,42661,44535,55828,57933,62958
0,1477,1720,3357,8769,10938,11289,13618,20998,23859,24318,27339,36687,40240,40807,44520,55836,60081,60756
0,945,2268,3348,8771,10166,12077,13607,21002,22847,25346,27326,36693,38988,42075,44505,55844,58589,62264
0,205,3094,3339,8773,9078,13251,13596,21006,21411,26868,27313,36699,37204,43945,44490,55852,56457
0,722,2486,3321,8777,9845,12393,13574,21014,22428,25760,27287,36711,38471,42587,44460,55868,57974,62874
