0,141,366,531,1191,1400,1725,1958,2858,3135,3560,3861,5001,5346,5871,6240,7620,8033,8658,9095,10715,11196,11921,12426,14286,14835,15660,16233,18333,18950,19875,20516,22856,23541,24566,25275,27855,28608,29733,30510,33330,34151,35376,36221,39281,40170,41495,42408,45708,46665,48090,49071,52611,53636,55161
0,57,453,522,1193,1278,1850,1947,2862,2975,3723,3848,5007,5148,6072,6225,7628,7797,8897,9078,10725,10922,12198,12407,14298,14523,15975,16212,18347,18600,20228,20493,22872,23153,24957,25250,27873,28182,30162,30483,33350,33687,35843,36192,39303,39668,42000,42377,45732,46125,48633,49038,52637,53058,55742,56175
0,216,270,513,1195,1513,1591,1936,2866,3286,3388,3835,5013,5535,5661,6210,7636,8260,8410,9061,10735,11461,11635,12388,14310,15138,15336,16191,18361,19291,19513,20470,22888,23920,24166,25225,27891,29025,29295,30456,33370,34606,34900,36163,39325,40663,40981,42346,45756,47196,47538,49005,52663,54205,54571,56140
0,177,294,495,1199,1460,1629,1914,2874,3219,3440,3809,5025,5454,5727,6180,7652,8165,8490,9027,10755,11352,11729,12350,14334,15015,15444,16149,18389,19154,19635,20424,22920,23769,24302,25175,27927,28860,29445,30402,33410,34427,35064,36105,39369,40470,41159,42284,45804,46989,47730,48939,52715,53984,54777,56070
0,70,403,486,1201,1305,1786,1903,2878,3016,3645,3796,5031,5203,5980,6165,7660,7866,8791,9010,10765,11005,12078,12331,14346,14620,15841,16128,18403,18711,20080,20401,22936,23278,24795,25150,27945,28321,29986,30375,33430,33840,35653,36076,39391,39835,41796,42253,45828,46306,48415,48906,52741,53253,55510,56035
0,87,375,477,1203,1332,1748,1892,2882,3053,3597,3783,5037,5250,5922,6150,7668,7923,8723,8993,10775,11072,12000,12312,14358,14697,15753,16107,18417,18798,19982,20378,22952,23375,24687,25125,27963,28428,29868,30348,33450,33957,35525,36047,39413,39962,41658,42222,45852,46443,48267,48873,52767,53400,55352,56000
0,143,305,468,1205,1416,1650,1881,2886,3165,3471,3770,5043,5390,5768,6135,7676,8091,8541,8976,10785,11268,11790,12293,14370,14921,15515,16086,18431,19050,19716,20355,22968,23655,24393,25100,27981,28736,29546,30321,33470,34293,35175,36018,39435,40326,41280,42191,45876,46835,47861,48840,52793,53820,54918,55965
0,210,219,450,1209,1517,1530,1859,2894,3300,3317,3744,5055,5559,5580,6105,7692,8294,8319,8942,10805,11505,11534,12255,14394,15192,15225,16044,18459,19355,19392,20309,23000,23994,24035,25050,28017,29109,29154,30267,33510,34700,34749,35960,39479,40767,40820,42129,45924,47310,47367,48774,52845,54329,54390,55895
0,118,298,432,1213,1387,1647,1837,2902,3132,3472,3718,5067,5353,5773,6075,7708,8050,8550,8908,10825,11223,11803,12217,14418,14872,15532,16002,18487,18997,19737,20263,23032,23598,24418,25000,28053,28675,29575,30213,33550,34228,35208,35902,39523,40257,41317,42067,45972,46762,47902,48708,52897,53743,54963,55825
0,71,341,423,1215,1320,1710,1826,2906,3045,3555,3705,5073,5246,5876,6060,7716,7923,8673,8891,10835,11076,11946,12198,14430,14705,15695,15981,18501,18810,19920,20240,23048,23391,24621,24975,28071,28448,29798,30186,33570,33981,35451,35873,39545,39990,41580,42036,45996,46475,48185,48675,52923,53436,55266,55790
