"1/1232"
"1/308"
"9/1232"
"25/1232"
"9/308"
"81/1232"
"25/308"
"169/1232"
"225/1232"
"289/1232"
"81/308"
"361/1232"
"529/1232"
"625/1232"
"169/308"
"729/1232"
"841/1232"
"225/308"
"961/1232"
"289/308"
"1369/1232"
"361/308"
"1681/1232"
"1849/1232"
"2025/1232"
"529/308"
"2209/1232"
"2809/1232"
"729/308"
"3249/1232"
"3481/1232"
"961/308"
"4761/1232"
"5041/1232"
"5329/1232"
"1369/308"
"5625/1232"
"1681/308"
"7569/1232"
"2025/308"
"10609/1232"
"13225/1232"
"3481/308"
"17161/1232"
"25281/1232"
