"1/5016"
"3/1672"
"25/5016"
"49/5016"
"27/1672"
"11/456"
"169/5016"
"75/1672"
"289/5016"
"147/1672"
"529/5016"
"625/5016"
"243/1672"
"841/5016"
"961/5016"
"1225/5016"
"1369/5016"
"507/1672"
"1681/5016"
"1849/5016"
"675/1672"
"2209/5016"
"2401/5016"
"867/1672"
"2809/5016"
"275/456"
"3481/5016"
"3721/5016"
"1323/1672"
"4225/5016"
"4489/5016"
"1587/1672"
"5329/5016"
"1875/1672"
"539/456"
"6241/5016"
"2187/1672"
"6889/5016"
"2523/1672"
"7921/5016"
"8281/5016"
"2883/1672"
"9409/5016"
"10201/5016"
"10609/5016"
"3675/1672"
"11449/5016"
"4107/1672"
"12769/5016"
"13225/5016"
"4563/1672"
"14161/5016"
"1331/456"
"15625/5016"
"16129/5016"
"5547/1672"
"17161/5016"
"6075/1672"
"19321/5016"
"6627/1672"
"1859/456"
"21025/5016"
"22201/5016"
"7803/1672"
"24025/5016"
"24649/5016"
"8427/1672"
"26569/5016"
"27889/5016"
"28561/5016"
"29929/5016"
"10443/1672"
"32041/5016"
"32761/5016"
"11163/1672"
"3179/456"
"36481/5016"
"37249/5016"
"12675/1672"
"38809/5016"
"13467/1672"
"42025/5016"
"14283/1672"
"44521/5016"
"46225/5016"
"15987/1672"
"48841/5016"
"16875/1672"
"52441/5016"
"54289/5016"
"55225/5016"
"57121/5016"
"19683/1672"
"60025/5016"
"20667/1672"
"5819/456"
"66049/5016"
"67081/5016"
"69169/5016"
"23763/1672"
"73441/5016"
"24843/1672"
"76729/5016"
"78961/5016"
"82369/5016"
"28227/1672"
"87025/5016"
"90601/5016"
"93025/5016"
"31827/1672"
"96721/5016"
"33075/1672"
"9251/456"
"105625/5016"
"108241/5016"
"36963/1672"
"38307/1672"
"117649/5016"
"120409/5016"
"124609/5016"
"42483/1672"
"134689/5016"
"137641/5016"
"142129/5016"
"48387/1672"
"13475/456"
"152881/5016"
"156025/5016"
"54675/1672"
"167281/5016"
"175561/5016"
"59643/1672"
"187489/5016"
"196249/5016"
"66603/1672"
"208849/5016"
"212521/5016"
"73947/1672"
"235225/5016"
"249001/5016"
"259081/5016"
"273529/5016"
"96123/1672"
"330625/5016"
