0,675,1413,2196
0,680,1391,2178
0,650,1415,2169
0,681,1365,2151
0,625,1417,2142
0,682,1339,2124
0,600,1419,2115
0,683,1313,2097
0,575,1421,2088
0,684,1287,2070
0,550,1423,2061
0,685,1261,2043
0,525,1425,2034
0,686,1235,2016
0,500,1427,2007
0,687,1209,1989
0,475,1429,1980
0,688,1183,1962
0,450,1431,1953
0,689,1157,1935
0,425,1433,1926
0,690,1131,1908
0,400,1435,1899
0,691,1105,1881
0,375,1437,1872
0,692,1079,1854
0,350,1439,1845
0,693,1053,1827
0,325,1441,1818
0,694,1027,1800
0,300,1443,1791
0,695,1001,1773
0,275,1445,1764
0,696,975,1746
0,250,1447,1737
0,697,949,1719
0,225,1449,1710
0,698,923,1692
0,200,1451,1683
0,699,897,1665
0,175,1453,1656
0,700,871,1638
0,150,1455,1629
0,701,845,1611
0,125,1457,1602
0,702,819,1584
0,100,1459,1575
0,703,793,1557
0,75,1461,1548
0,704,767,1530
0,50,1463,1521
0,705,741,1503
0,25,1465,1494
0,706,715,1476
0,689,707,1449
0,663,708,1422
0,637,709,1395
0,611,710,1368
0,585,711,1341
0,559,712,1314
0,533,713,1287
0,507,714,1260
0,481,715,1233
0,455,716,1206
0,429,717,1179
0,403,718,1152
0,377,719,1125
0,351,720,1098
0,325,721,1071
0,299,722,1044
0,273,723,1017
0,247,724,990
0,221,725,963
0,195,726,936
0,169,727,909
0,143,728,882
0,117,729,855
0,91,730,828
0,65,731,801
0,39,732,774
0,13,733,747
