"1/4620"
"1/1155"
"4/1155"
"5/924"
"7/660"
"16/1155"
"5/231"
"169/4620"
"7/165"
"64/1155"
"289/4620"
"361/4620"
"20/231"
"529/4620"
"125/924"
"169/1155"
"28/165"
"841/4620"
"961/4620"
"256/1155"
"289/1155"
"1369/4620"
"361/1155"
"80/231"
"1681/4620"
"1849/4620"
"529/1155"
"2209/4620"
"343/660"
"125/231"
"676/1155"
"2809/4620"
"112/165"
"841/1155"
"3481/4620"
"3721/4620"
"961/1155"
"1024/1155"
"845/924"
"4489/4620"
"5041/4620"
"5329/4620"
"1369/1155"
"1444/1155"
"6241/4620"
"320/231"
"1681/1155"
"6889/4620"
"1445/924"
"1849/1155"
"7921/4620"
"1183/660"
"2116/1155"
"2209/1155"
"1805/924"
"9409/4620"
"343/165"
"500/231"
"2704/1155"
"2809/1155"
"11449/4620"
"11881/4620"
"448/165"
"12769/4620"
"2645/924"
"3481/1155"
"2023/660"
"3721/1155"
"3844/1155"
"3125/924"
"4096/1155"
"845/231"
"17161/4620"
"2527/660"
"18769/4620"
"19321/4620"
"5041/1155"
"4205/924"
"5329/1155"
"5476/1155"
"22801/4620"
"5776/1155"
"4805/924"
"24649/4620"
"6241/1155"
"3703/660"
"26569/4620"
"6724/1155"
"6889/1155"
"1445/231"
"7396/1155"
"7921/1155"
"32041/4620"
"32761/4620"
"8464/1155"
"6845/924"
"8836/1155"
"1805/231"
"36481/4620"
"9409/1155"
"1372/165"
"38809/4620"
"39601/4620"
"5887/660"
"8405/924"
"44521/4620"
"11236/1155"
"11449/1155"
"6727/660"
"11881/1155"
"49729/4620"
"1792/165"
"51529/4620"
"52441/4620"
"2645/231"
"13924/1155"
"2023/165"
"14884/1155"
"61009/4620"
"3125/231"
"63001/4620"
"16384/1155"
"66049/4620"
"3380/231"
"17161/1155"
"69169/4620"
"72361/4620"
"73441/4620"
"76729/4620"
"80089/4620"
"20164/1155"
"83521/4620"
"4205/231"
"85849/4620"
"17405/924"
"21904/1155"
"22801/1155"
"23104/1155"
"4805/231"
"24964/1155"
"100489/4620"
"3703/165"
"104329/4620"
"26896/1155"
"15463/660"
"22445/924"
"16807/660"
"121801/4620"
"25205/924"
"31684/1155"
"130321/4620"
"32761/1155"
"33856/1155"
"35344/1155"
"36481/1155"
"151321/4620"
"31205/924"
"160801/4620"
"44521/1155"
"45796/1155"
"6727/165"
"212521/4620"
"218089/4620"
"61009/1155"
"12500/231"
"277729/4620"
"284089/4620"
"80089/1155"
"358801/4620"
"99856/1155"
