"1/3552"
"1/888"
"1/222"
"25/3552"
"49/3552"
"25/888"
"121/3552"
"169/3552"
"49/888"
"289/3552"
"361/3552"
"25/222"
"121/888"
"529/3552"
"625/3552"
"169/888"
"49/222"
"841/3552"
"961/3552"
"289/888"
"1225/3552"
"361/888"
"1681/3552"
"1849/3552"
"121/222"
"529/888"
"2209/3552"
"2401/3552"
"625/888"
"169/222"
"2809/3552"
"3025/3552"
"841/888"
"3481/3552"
"961/888"
"4225/3552"
"4489/3552"
"289/222"
"1225/888"
"5041/3552"
"5329/3552"
"361/222"
"5929/3552"
"6241/3552"
"1681/888"
"6889/3552"
"1849/888"
"7921/3552"
"8281/3552"
"529/222"
"2209/888"
"9025/3552"
"9409/3552"
"625/222"
"10201/3552"
"10609/3552"
"2809/888"
"11449/3552"
"3025/888"
"12769/3552"
"13225/3552"
"841/222"
"3481/888"
"14641/3552"
"961/222"
"15625/3552"
"4225/888"
"17161/3552"
"4489/888"
"18769/3552"
"19321/3552"
"1225/222"
"5041/888"
"21025/3552"
"22201/3552"
"5929/888"
"24025/3552"
"6241/888"
"25921/3552"
"26569/3552"
"1681/222"
"6889/888"
"28561/3552"
"29929/3552"
"7921/888"
"32041/3552"
"8281/888"
"34969/3552"
"2209/222"
"9025/888"
"37249/3552"
"38809/3552"
"10201/888"
"41209/3552"
"10609/888"
"44521/3552"
"2809/222"
"11449/888"
"47089/3552"
"48841/3552"
"12769/888"
"51529/3552"
"55225/3552"
"3481/222"
"58081/3552"
"60025/3552"
"15625/888"
"63001/3552"
"4225/222"
"70225/3552"
"72361/3552"
"18769/888"
"75625/3552"
"5041/222"
"83521/3552"
"85849/3552"
"22201/888"
"97969/3552"
"25921/888"
"113569/3552"
"29929/888"
"130321/3552"
"148225/3552"
"167281/3552"
"187489/3552"
"208849/3552"
