0,425,893,1386
0,430,871,1368
0,400,895,1359
0,431,845,1341
0,375,897,1332
0,432,819,1314
0,350,899,1305
0,433,793,1287
0,325,901,1278
0,434,767,1260
0,300,903,1251
0,435,741,1233
0,275,905,1224
0,436,715,1206
0,250,907,1197
0,437,689,1179
0,225,909,1170
0,438,663,1152
0,200,911,1143
0,439,637,1125
0,175,913,1116
0,440,611,1098
0,150,915,1089
0,441,585,1071
0,125,917,1062
0,442,559,1044
0,100,919,1035
0,443,533,1017
0,75,921,1008
0,444,507,990
0,50,923,981
0,445,481,963
0,25,925,954
0,446,455,936
0,429,447,909
0,403,448,882
0,377,449,855
0,351,450,828
0,325,451,801
0,299,452,774
0,273,453,747
0,247,454,720
0,221,455,693
0,195,456,666
0,169,457,639
0,143,458,612
0,117,459,585
0,91,460,558
0,65,461,531
0,39,462,504
0,13,463,477
