"1/1020"
"1/255"
"4/255"
"49/1020"
"16/255"
"121/1020"
"169/1020"
"49/255"
"64/255"
"361/1020"
"121/255"
"529/1020"
"169/255"
"196/255"
"841/1020"
"961/1020"
"1369/1020"
"361/255"
"1681/1020"
"1849/1020"
"484/255"
"529/255"
"676/255"
"2809/1020"
"841/255"
"3481/1020"
"4489/1020"
"5329/1020"
"1369/255"
"1681/255"
"7921/1020"
"2704/255"
