a1,a2,a3,a4
-1,-2,-3,-7
0,2,-3,-5
0,3,-5,-7
0,3,-4,-11
0,4,-7,-9
0,4,-5,-19
0,5,-9,-11
0,5,-8,-13
0,5,-7,-17
0,5,3,-2
0,6,-11,-13
0,7,-13,-15
0,7,-11,-19
0,7,5,-3
0,8,-15,-17
0,9,-17,-19
0,9,7,-4
0,11,4,-3
0,11,9,-5
0,13,8,-5
0,13,11,-6
0,15,13,-7
0,17,7,-5
0,17,15,-8
0,19,5,-4
0,19,11,-7
0,19,17,-9
1,7,3,2
