-29,31,-118,122,-267,273,-476,484,-745,755,-1074,1086,-1463,1477,-1912,1928,-2421,2439,-2990,3010
-23,37,-106,134,-249,291,-452,508,-715,785,-1038,1122,-1421,1519,-1864,1976,-2367,2493,-2930,3070
-41,43,-166,170,-375,381,-668,676,-1045,1055,-1506,1518,-2051,2065,-2680,2696,-3393,3411,-4190,4210
-37,47,-158,178,-363,393,-652,692,-1025,1075,-1482,1542,-2023,2093,-2648,2728,-3357,3447,-4150,4250
-31,53,-146,190,-345,411,-628,716,-995,1105,-1446,1578,-1981,2135,-2600,2776,-3303,3501,-4090,4310
-59,61,-238,242,-537,543,-956,964,-1495,1505,-2154,2166,-2933,2947,-3832,3848,-4851,4869,-5990,6010
-58,62,-236,244,-534,546,-952,968,-1490,1510,-2148,2172,-2926,2954,-3824,3856,-4842,4878,-5980,6020
-53,67,-226,254,-519,561,-932,988,-1465,1535,-2118,2202,-2891,2989,-3784,3896,-4797,4923,-5930,6070
-49,71,-218,262,-507,573,-916,1004,-1445,1555,-2094,2226,-2863,3017,-3752,3928,-4761,4959,-5890,6110
-47,73,-214,266,-501,579,-908,1012,-1435,1565,-2082,2238,-2849,3031,-3736,3944,-4743,4977,-5870,6130
-46,74,-212,268,-498,582,-904,1016,-1430,1570,-2076,2244,-2842,3038,-3728,3952,-4734,4986,-5860,6140
-65,67,-262,266,-591,597,-1052,1060,-1645,1655,-2370,2382,-3227,3241,-4216,4232,-5337,5355,-6590,6610
-61,71,-254,274,-579,609,-1036,1076,-1625,1675,-2346,2406,-3199,3269,-4184,4264,-5301,5391,-6550,6650
-59,73,-250,278,-573,615,-1028,1084,-1615,1685,-2334,2418,-3185,3283,-4168,4280,-5283,5409,-6530,6670
-53,79,-238,290,-555,633,-1004,1108,-1585,1715,-2298,2454,-3143,3325,-4120,4328,-5229,5463,-6470,6730
-47,85,-226,302,-537,651,-980,1132,-1555,1745,-2262,2490,-3101,3367,-4072,4376,-5175,5517,-6410,6790
-69,71,-278,282,-627,633,-1116,1124,-1745,1755,-2514,2526,-3423,3437,-4472,4488,-5661,5679,-6990,7010
-67,73,-274,286,-621,639,-1108,1132,-1735,1765,-2502,2538,-3409,3451,-4456,4504,-5643,5697,-6970,7030
-61,79,-262,298,-603,657,-1084,1156,-1705,1795,-2466,2574,-3367,3493,-4408,4552,-5589,5751,-6910,7090
-59,81,-258,302,-597,663,-1076,1164,-1695,1805,-2454,2586,-3353,3507,-4392,4568,-5571,5769,-6890,7110
-57,83,-254,306,-591,669,-1068,1172,-1685,1815,-2442,2598,-3339,3521,-4376,4584,-5553,5787,-6870,7130
-47,93,-234,326,-561,699,-1028,1212,-1635,1865,-2382,2658,-3269,3591,-4296,4664,-5463,5877,-6770,7230
-77,79,-310,314,-699,705,-1244,1252,-1945,1955,-2802,2814,-3815,3829,-4984,5000,-6309,6327,-7790,7810
-73,83,-302,322,-687,717,-1228,1268,-1925,1975,-2778,2838,-3787,3857,-4952,5032,-6273,6363,-7750,7850
-71,85,-298,326,-681,723,-1220,1276,-1915,1985,-2766,2850,-3773,3871,-4936,5048,-6255,6381,-7730,7870
-67,89,-290,334,-669,735,-1204,1292,-1895,2005,-2742,2874,-3745,3899,-4904,5080,-6219,6417,-7690,7910
-61,95,-278,346,-651,753,-1180,1316,-1865,2035,-2706,2910,-3703,3941,-4856,5128,-6165,6471,-7630,7970
-55,101,-266,358,-633,771,-1156,1340,-1835,2065,-2670,2946,-3661,3983,-4808,5176,-6111,6525,-7570,8030
-83,85,-334,338,-753,759,-1340,1348,-2095,2105,-3018,3030,-4109,4123,-5368,5384,-6795,6813,-8390,8410
-82,86,-332,340,-750,762,-1336,1352,-2090,2110,-3012,3036,-4102,4130,-5360,5392,-6786,6822,-8380,8420
